site_code,start_date,end_date,status,location_type,lat,long,land_use_start,land_use_end,land_use,land_use_changed,nlcd_code_start,nlcd_code_end,nlcd_code_latest,nlcd_code_2001,land_use_2001,nlcd_code_2006,land_use_2006,nlcd_code_2011,land_use_2011,nlcd_code_2016,land_use_2016,nlcd_code_2019,land_use_2019,nlcd_code_2021,land_use_2021
IBWA,2016-12-28,2025-04-25,Sampled to study end,PASS,33.47343,-111.91157,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
IBWB,2016-12-28,2025-04-25,Sampled to study end,PASS,33.47124,-111.91148,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
IBWC,2016-12-28,2025-04-25,Sampled to study end,PASS,33.4696,-111.91415,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
PWRA,2017-01-24,2025-04-30,Sampled to study end,PASS,33.20731,-111.70968,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
PWRB,2017-01-24,2025-04-30,Sampled to study end,PASS,33.24183,-111.71894,"Developed, high intensity","Developed, high intensity","Developed, high intensity",True,24,24,24,52,Shrub/scrub,52,Shrub/scrub,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
PWRC,2017-01-24,2025-04-30,Sampled to study end,PASS,33.25643,-111.75764,"Developed, open space","Developed, open space","Developed, open space",True,21,21,21,82,Cultivated crops,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
Q-15,2016-12-21,2025-04-03,Sampled to study end,PASS,33.5063944266923,-112.256579389108,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
Q-15B,2016-12-21,2025-04-03,Sampled to study end,PASS,33.50165,-112.266,"Developed, low intensity","Developed, low intensity","Developed, low intensity",True,22,22,22,52,Shrub/scrub,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
Q-15C,2016-12-21,2025-04-03,Sampled to study end,PASS,33.49738,-112.25745,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",True,23,23,23,52,Shrub/scrub,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
R-18,2016-12-23,2025-04-12,Sampled to study end,PASS,33.418739777382,-112.198706101637,"Developed, low intensity","Developed, low intensity","Developed, low intensity",True,22,22,22,52,Shrub/scrub,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
R-18B,2016-12-23,2025-04-12,Sampled to study end,PASS,33.41015,-112.21421,"Developed, low intensity","Developed, low intensity","Developed, low intensity",True,22,22,22,82,Cultivated crops,52,Shrub/scrub,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
R-18C,2016-12-23,2025-04-12,Sampled to study end,PASS,33.39753,-112.17001,"Developed, low intensity","Developed, low intensity","Developed, low intensity",True,22,22,22,82,Cultivated crops,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
TRSA,2016-12-21,2025-04-07,Sampled to study end,PASS,33.43389,-112.24509,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",True,23,23,23,52,Shrub/scrub,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
TRSB,2016-12-21,2025-04-07,Sampled to study end,PASS,33.42514,-112.28805,"Developed, low intensity","Developed, low intensity","Developed, low intensity",True,22,22,22,82,Cultivated crops,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
TRSC,2016-12-21,2025-04-07,Sampled to study end,PASS,33.40209,-112.27385,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",True,23,23,23,82,Cultivated crops,52,Shrub/scrub,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
U-18,2017-01-04,2025-04-15,Sampled to study end,PASS,33.4012860120768,-112.09064820221,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
U-18B,2017-01-04,2025-04-15,Sampled to study end,PASS,33.40558,-112.09829,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
U-18C,2017-01-04,2025-04-15,Sampled to study end,PASS,33.40068,-112.09386,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
U-21,2017-01-19,2025-04-29,Sampled to study end,PASS,33.31905,-112.0597,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
U-21B,2017-01-19,2025-04-29,Sampled to study end,PASS,33.3071,-112.08096,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
U-21C,2017-01-26,2025-04-29,Sampled to study end,PASS,33.30652,-112.04609,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
V-14B,2016-12-30,2025-04-04,Sampled to study end,PASS,33.54785,-112.05521,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
V-14C,2016-12-30,2025-04-04,Sampled to study end,PASS,33.54601,-112.05283,"Developed, high intensity","Developed, high intensity","Developed, high intensity",False,24,24,24,24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity",24,"Developed, high intensity"
W-15B,2016-12-21,2025-04-24,Sampled to study end,PASS,33.51892,-111.99351,"Developed, low intensity","Developed, low intensity","Developed, low intensity",False,22,22,22,22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity",22,"Developed, low intensity"
W-15C,2016-12-21,2025-04-24,Sampled to study end,PASS,33.52015,-111.97997,"Developed, open space","Developed, open space","Developed, open space",False,21,21,21,21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space",21,"Developed, open space"
X-17,2016-12-28,2025-04-25,Sampled to study end,PASS,33.4255927446935,-111.959822,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
X-17B,2016-12-28,2025-04-25,Sampled to study end,PASS,33.42544,-111.95321,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
X-17C,2016-12-28,2025-04-25,Sampled to study end,PASS,33.42789,-111.9551,"Developed, medium intensity","Developed, medium intensity","Developed, medium intensity",False,23,23,23,23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity",23,"Developed, medium intensity"
Ave35_dwn_B1,2013-01-09,2025-04-11,Sampled to study end,SRBP,33.4119545761495,-112.134755216538,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
Ave67_dwn_B1,2016-04-05,2025-04-11,Sampled to study end,SRBP,33.39764256,-112.20402578,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
Ave67_mid_B1,2013-04-11,2016-01-20,Retired early,SRBP,33.39613692,-112.20127241,Shrub/scrub,Shrub/scrub,Shrub/scrub,False,52,52,52,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub,52,Shrub/scrub
BM_mid_B2,2013-01-09,2025-04-11,Sampled to study end,SRBP,33.38249101,-112.30335401,Woody wetlands,Woody wetlands,Woody wetlands,False,90,90,90,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands,90,Woody wetlands
Price_up_B1,2013-01-10,2025-04-24,Sampled to study end,SRBP,33.43850191,-111.88609801,Cultivated crops,Cultivated crops,Cultivated crops,False,82,82,82,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops,82,Cultivated crops
